,beat,population,crimes,square_mileage,households,85,80-84,75-79,70-74,67-69,65-66,62-64,60-61,55-59,50-54,45-49,40-44,35-39,30-34,25-29,22-24,21,20,18-19,15-17,10-14,5-9,0-4,<=21,22-29,30-39,40-49,50-59,60-64,65,med_income,pop_food_stamps,percent_on_fs,bachelors,high_school,no_high_school,percent_bachelors,percent_high_school,percent_no_high_school,se_35+,se_25-34,se_20-24,se_18-19,se_15-17,se_10-14,se_5-9,se_0-4,total_se,percent_se,percent_se_0-4,percent_se_5-9,percent_se_10-14,percent_se_15-17,percent_se_18-19,percent_se_20-24,percent_se_25-34,youngPop,percent_se_35+,Crime_density,Crime_density_young
0,111,1982.5854540535,1752,0.1067971413,987.8387308643,0.0,19.4444387065,29.9595785221,24.0353007777,12.1865757886,13.7661561817,16.5408356447,52.6298961718,64.4506699694,81.4673588066,64.7269772015,45.8464229429,89.5979826949,310.9859679074,593.9880170936,201.9634476423,11.6270086021,53.3871148902,191.2160708609,11.6773315762,15.9389300929,15.8348071435,61.3231504237,361.0044135895,795.9514647359,400.5839506023,110.5734001444,145.918028776,69.1707318165,99.3920499766,84026.5014610791,5.0472779866,0.510941495701827,1146.1400525125,247.5784312962,25.9076946008,80.7358304312345,17.439797347404,1.82497700308888,12.0129117532,248.8510569622,139.394324712,186.3371275647,11.6773315762,15.9389300929,15.8191280198,50.899766755,680.930577436,34.345585258068,83.0025306973276,99.9009831723373,100.0,100.0,97.4484658772488,52.2119982287661,27.4981448181546,514.6436078207,0.818350657693212,0.8836945698446158,3.404297602022078
1,112,1075.2823547172,1506,0.0860599645,451.5074692896,0.0,16.7896805836,27.0967632268,28.2964182533,16.2282426244,13.7173094955,26.0797489122,27.6795917516,46.9346416728,58.1339677623,38.3305746624,46.1510874942,24.769467024,100.4227048118,137.5781938023,95.7666612804,39.3061647399,86.0952740035,185.894475229,12.9623502878,15.7363032231,14.5219932586,16.7882035404,371.3047642823,233.3448550827,125.1921718358,84.4816621566,105.0686094351,53.7593406638,102.1284141836,96400.6504483955,4.6175782381,1.02270251372924,491.321185329,98.3060378697,18.5811688786,80.7813805667726,16.1631488612609,3.05505343424698,8.6639364018,63.9305189919,174.3231976402,183.7683408053,12.9623502878,15.7363032231,14.5219932586,3.9080327942,477.8146734029,44.436205179668,23.2784453964685,100.0,100.0,100.0,98.85626809453,78.8193223260683,26.8614611811018,370.2100305404,1.22880108957836,1.4005623670780678,4.067961091712382
2,113,1072.9518668195,919,0.0875577252,358.1278467034,0.0,1.3437585993,2.8099029112,17.0715916938,15.4898472607,8.0736126516,23.3265099352,25.2902967495,42.0161813783,29.4271004449,51.6635815538,47.1175392857,68.7513833987,97.2246735417,137.4592098737,108.9208501125,50.2955518218,87.9143027753,205.365936054,8.2526366897,12.904984279,13.3326982205,18.8990590456,396.9651688859,246.3800599862,165.9760569404,98.7811208395,71.4432818232,48.6168066847,44.7887131166,101646.757682792,5.5496201697,1.54961984128985,454.4573395965,86.9786509727,25.6291987088,80.141899100909,15.338368781493,4.51961598591732,9.3228414726,63.3952321255,209.176085623,204.0532630511,8.2526366897,12.904984279,13.3326982205,0.0,520.4377414614,48.505227266541695,0.0,100.0,100.0,100.0,99.3608126897175,84.6418844913666,27.0130318294111,332.3819644057,1.25887393508881,0.8565155888345185,2.764891294999038
3,114,16145.434609535,1037,0.6681101715,8563.0657117235,121.1792455491,289.3857937786,452.9541392704,525.1754900238,415.3512948506,210.2200463868,715.5688923499,446.6668219984,1184.9017915791,1004.0538241338,829.1808153033,1457.2430933181,864.3728474033,2029.0032245893,2206.5231100654,680.7760296639,252.4786954106,296.6597639427,1159.7383655536,49.6317333726,8.7738429094,161.2438950981,784.3929360201,2712.9192323071,2887.2991397293,2893.3760719926,2286.4239086214,2188.9556157129,1162.2357143483,2014.2660098593,110367.182242497,37.7890698678,0.441303046595378,10549.9765229885,2112.2177560726,89.5861484414,82.7336274325894,16.5641541008765,0.702540618182522,204.7388350767,1091.0635654174,924.9198374263,1148.3549845181,49.6317333726,8.7738429094,161.2438950981,719.8266844139,4308.5533782325,26.6858928386356,91.7686342340358,100.0,100.0,100.0,99.018452663669,75.2019628751089,25.7598106872909,8516.2130129093,2.68361368828575,0.06422868291124102,0.12176773859790305
4,121,6400.4967745848,669,0.2642662481,3632.5147418855,0.0,0.0084759155,8.6595945634,28.398202441,94.5137245637,59.5318017992,81.4709126869,49.5388032128,104.0456247561,84.1797951578,241.795556294,508.6746841744,883.5687677943,1152.0806541326,1534.9742680489,822.607902973,84.4869781493,45.5307575546,171.6156393433,28.6143689459,32.1637712125,43.7403452308,340.3087288622,746.4605892986,2357.5821710219,2035.6494219269,750.4702404684,188.2254199139,131.0097158997,191.1117992828,101550.382372045,20.3131418306,0.559203286813262,4477.5276940963,330.6105297623,23.3026067966,92.6750317393212,6.84291498173724,0.482313002180033,121.285189425,595.4290233955,561.6196504678,171.5922269838,28.6143689459,32.1637712125,25.5884443997,244.4501954517,1780.7428702819,27.8219477799427,71.8318910799036,58.5007828920421,100.0,100.0,99.9863576771968,58.9549165659484,22.1591683325958,2144.3733601317,2.84966335828363,0.10452313680657983,0.3119792534444246
5,122,4247.3190802394,1405,0.2912123236,1851.1915225382,0.0,8.0742874786,8.1693673793,49.4196843163,46.778923608,35.3544635002,42.8514058752,123.7964404019,181.4133713434,138.3075665596,264.9008467381,257.3962793305,387.4303156979,590.5502212576,754.8584642137,393.6070072651,53.5057529035,237.5302839306,369.8300965623,34.9930530153,81.3961426427,93.711908908,93.4344704253,964.4017083877,1148.4654714788,977.9805369555,522.2971260686,319.720937903,166.6478462771,147.7967262824,82737.3089766553,37.6442015037,2.03351198648994,2229.4049550987,494.1340298174,165.7626526382,77.1604526264758,17.1021443689072,5.73710095910438,51.4525929303,327.5770004855,447.843122459,360.2517425353,34.9930530153,81.3961426427,93.6378624457,1.0417924603,1398.1933089741,32.9194318241636,1.11499798260526,99.920985002693,100.0,100.0,97.4100663747937,65.4126447816668,24.3477691219712,1543.9016791153,1.90324264795017,0.3307969035189151,0.9100320434945736
6,123,12310.4368415824,2127,0.3281185072,6414.1396122887,2.1299095448,84.607348818,191.4075037865,134.9766909719,377.1527559885,91.5929263696,153.2611616733,250.3996819972,532.8011248449,554.2133784971,563.6578619715,970.7578735977,1160.6448426114,2053.0143987161,2309.3119953429,770.2891594012,134.4338417378,120.4046526839,866.5972084866,20.4564635884,200.3778196792,284.3917948886,483.6695951429,2110.3313762074,3079.6011547441,3213.6592413275,1534.4157355692,1087.014503342,403.6608436705,881.8671354793,92468.2632156513,360.1434105235,5.61483585161617,7857.7293403129,1449.9952942783,122.2048197894,83.3285515364177,15.3767077451946,1.29594061882184,351.7062188596,881.0988685776,857.2301780002,812.0426440756,20.4100866376,200.3778196792,284.3394508693,333.6356909559,3740.840957655,30.3875565570437,68.9800835748891,99.98159439891,100.0,99.7732895004086,93.7047380401476,83.6217982027333,20.1979125124053,5067.4899119148,4.8558442064374,0.17278022115473465,0.4197344320309248
7,124,3296.7770042922,1100,0.5049563823,830.4149417491,0.0,6.8427412976,1.4250408309,35.0771502861,26.510459366,46.9909924242,54.776891595,34.3108322622,64.0685444965,92.5819210765,155.0466815078,115.2925201812,241.7779425633,385.8219162501,333.7643000338,201.2781095021,171.8578025014,285.3192559787,689.5784130123,10.5649112552,66.4797558794,107.1318660848,170.2796337382,1501.21163845,535.0424095359,627.5998588134,270.339201689,156.650465573,89.0877238572,116.8463842048,110929.124615068,5.7739247633,0.695305981746716,1235.1934263827,277.5901576587,81.5043501298,77.4762152473233,17.4115521876494,5.11227508127388,23.7593948626,98.7531496177,614.1531050624,689.5159431519,10.5613161427,66.4797558794,107.1278084089,142.5090107034,1752.859483829,53.1688822612778,83.6911658633842,99.9962124472874,100.0,99.9659712002007,99.9909408619497,93.2718178740154,13.7236021734383,874.7010400562,0.980951680022739,0.33365920672458826,1.2575725300719025
8,131,11154.211806994,1445,0.5734721234,6120.667502833,102.4276616448,182.3881651448,267.5358738674,442.9937051103,143.9328421728,194.5013117436,250.5248968271,175.6498117072,560.2970057701,701.3718959755,774.5019031373,1101.7884806779,1015.4114213719,1794.0634764193,1218.9009724383,424.5789494356,72.9979290776,7.0269242129,93.416757093,178.1412287778,435.9356567932,365.1034267954,650.6399844758,1803.2619072257,1643.4799218739,2809.4748977912,1876.2903838152,1261.6689017456,426.1747085343,1333.7795596837,90091.0332345081,666.4943542258,10.8892429447819,6558.5036688687,1833.6722927113,534.113404352,73.4733488599222,20.5421923748638,5.98354479467485,180.1547703192,262.7203282296,284.863565767,87.7747752421,153.7738531382,435.9356567932,356.7602002799,435.1189477861,2197.1020975553,19.6975109991874,66.8755315025193,97.7148320439689,100.0,86.3213160665945,93.9604177810592,56.45291696733889,8.71966240189835,5913.4065014751,3.43753984009835,0.1295474772223659,0.2443599978522607
9,132,11872.8172091983,1114,1.0441161711,6838.993242897,48.3733062342,16.1978397479,159.785089678,271.043777945,66.9563159464,179.6964013416,178.9684119706,304.4398027692,679.180190246,645.3902659546,638.5854200618,963.5146443022,1523.1818801954,2097.3786252755,1514.1904427267,617.0406529362,90.717827668,0.0,66.0520145629,170.4755909019,382.2681265948,505.5378696342,753.8437129964,1968.8951423582,2131.2310956629,3620.5605054709,1602.100064364,1324.5704562006,483.4082147398,742.0527308931,93507.0074672094,537.5636924762,7.86027523911528,7326.332021551,1796.0193097202,164.5309910184,78.8890446106305,19.3393156397074,1.77164953104787,188.0191106271,315.7385128606,428.9313425119,66.0520145629,170.4755909019,382.2681265948,505.5378696342,490.5068453738,2547.5294130672,21.4568233316482,65.0674452698052,100.0,100.0,100.0,100.0,60.6041968081724,8.74241934504263,5675.3123459017,3.03378722202548,0.0938277731705449,0.1962887559491682
